cluster_id,cluster_name_raw,bin_id,N_stars,radius_arcsec,pm_sigma_total_masyr,pm_sigma_total_err_masyr,pm_sigma_radial_masyr,pm_sigma_radial_err_masyr,pm_sigma_tangential_masyr,pm_sigma_tangential_err_masyr,anisotropy_proxy_pm
NGC0104,NGC0104,1,23,8.0216,0.66,0.071,0.625,0.099,0.715,0.114,-0.3087359999999999
NGC0104,NGC0104,2,269,16.6106,0.584,0.018,0.574,0.025,0.6,0.026,-0.0926440772620769
NGC0104,NGC0104,3,386,22.7047,0.595,0.015,0.591,0.021,0.6,0.022,-0.0306887577623748
NGC0104,NGC0104,4,386,26.6547,0.561,0.014,0.547,0.02,0.577,0.021,-0.1126971448051359
NGC0104,NGC0104,5,386,30.1497,0.591,0.015,0.588,0.022,0.597,0.021,-0.0308465222823823
NGC0104,NGC0104,6,386,33.8949,0.569,0.015,0.566,0.021,0.565,0.02,0.0035304473772926
NGC0104,NGC0104,7,386,37.4059,0.547,0.014,0.517,0.019,0.572,0.021,-0.2240832956088725
NGC0104,NGC0104,8,386,40.9867,0.567,0.014,0.558,0.02,0.579,0.021,-0.0766851659151341
NGC0104,NGC0104,9,386,44.5412,0.561,0.014,0.553,0.02,0.57,0.021,-0.0624278552952983
NGC0104,NGC0104,10,386,48.1347,0.565,0.014,0.555,0.02,0.574,0.021,-0.0696404512620725
NGC0104,NGC0104,11,386,51.7444,0.54,0.013,0.547,0.02,0.536,0.019,0.0398149788275085
NGC0104,NGC0104,12,386,55.6032,0.555,0.014,0.541,0.019,0.569,0.021,-0.1061906990887688
NGC0104,NGC0104,13,386,59.1933,0.53,0.013,0.539,0.02,0.522,0.019,0.0620850127873717
NGC0104,NGC0104,14,386,62.9727,0.55,0.014,0.55,0.02,0.552,0.02,-0.0072859504132229
NGC0104,NGC0104,15,386,66.9185,0.555,0.014,0.594,0.022,0.513,0.019,0.2541322314049586
NGC0104,NGC0104,16,386,70.6169,0.548,0.014,0.574,0.021,0.521,0.019,0.1761433306219569
NGC0104,NGC0104,17,386,74.9096,0.543,0.014,0.552,0.02,0.533,0.02,0.0676558233564377
NGC0104,NGC0104,18,386,79.1244,0.532,0.013,0.516,0.019,0.542,0.02,-0.1033141037197284
NGC0104,NGC0104,19,385,83.7639,0.538,0.014,0.556,0.02,0.523,0.019,0.1151823145799908
NGC0104,NGC0104,20,385,88.941,0.522,0.013,0.551,0.02,0.493,0.018,0.1994459833795016
NGC0104,NGC0104,21,385,94.497,0.531,0.014,0.556,0.02,0.506,0.018,0.1717690595724861
NGC0104,NGC0104,22,385,100.0003,0.512,0.013,0.527,0.019,0.496,0.018,0.1141868512110727
NGC0104,NGC0104,23,385,106.3089,0.499,0.013,0.528,0.019,0.469,0.017,0.2109984791092748
NGC0104,NGC0104,24,385,113.4684,0.489,0.013,0.519,0.019,0.458,0.017,0.2212532623505259
NGC0104,NGC0104,25,385,121.5825,0.486,0.012,0.498,0.018,0.474,0.017,0.0940629989838873
NGC0104,NGC0104,26,385,130.1041,0.482,0.012,0.488,0.018,0.479,0.018,0.0365451155603333
NGC0104,NGC0104,27,385,140.6284,0.475,0.012,0.488,0.018,0.463,0.017,0.0998345538833644
NGC0104,NGC0104,28,385,158.5868,0.46,0.012,0.465,0.018,0.458,0.017,0.0298809110879871
NGC0288,NGC0288,1,42,13.8853,0.074,0.007,0.074,0.009,0.074,0.009,0.0
NGC0288,NGC0288,2,112,31.9959,0.068,0.004,0.071,0.005,0.064,0.005,0.1874628049990081
NGC0288,NGC0288,3,111,48.8954,0.068,0.004,0.068,0.005,0.068,0.005,0.0
NGC0288,NGC0288,4,111,67.0405,0.063,0.004,0.066,0.005,0.061,0.005,0.1457759412304867
