cluster_id,profile_file,row_in_file,radius_deg,radius_arcsec,pm_disp_p02_masyr,pm_disp_p16_masyr,pm_disp_p50_masyr,pm_disp_p84_masyr,pm_disp_p98_masyr,pm_rot_p02_masyr,pm_rot_p16_masyr,pm_rot_p50_masyr,pm_rot_p84_masyr,pm_rot_p98_masyr,pm_rot_aux_masyr
NGC0104,profiles/NGC_104_47Tuc.txt,1,0.0,0.0,0.488538,0.513915,0.546253,0.579732,0.617171,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
NGC0104,profiles/NGC_104_47Tuc.txt,2,0.00666667,24.000012,0.481253,0.504585,0.534393,0.565057,0.600086,-0.025113,-0.02413,-0.0231912,-0.0222315,-0.0213072,-0.0274863
NGC0104,profiles/NGC_104_47Tuc.txt,3,0.0133333,47.99988,0.47408,0.495299,0.522512,0.55062,0.583231,-0.0500472,-0.0480877,-0.0462228,-0.0443113,-0.0424694,-0.0544952
NGC0104,profiles/NGC_104_47Tuc.txt,4,0.02,72.0,0.466727,0.485923,0.510801,0.536301,0.566436,-0.0746168,-0.0717006,-0.068935,-0.0660817,-0.0633414,-0.0805767
NGC0104,profiles/NGC_104_47Tuc.txt,5,0.0266667,96.00012,0.459292,0.476453,0.498937,0.522048,0.549478,-0.0986364,-0.0948003,-0.0911632,-0.0873996,-0.0837863,-0.105332
NGC0104,profiles/NGC_104_47Tuc.txt,6,0.0333333,119.99988,0.451732,0.467184,0.487396,0.507969,0.532678,-0.121953,-0.117224,-0.112761,-0.108102,-0.103665,-0.128432
NGC0104,profiles/NGC_104_47Tuc.txt,7,0.04,144.0,0.444372,0.458036,0.475928,0.494205,0.516234,-0.144379,-0.138798,-0.133547,-0.12805,-0.122854,-0.149627
NGC0104,profiles/NGC_104_47Tuc.txt,8,0.0466667,168.00011999999998,0.436986,0.448877,0.464484,0.480569,0.499911,-0.165678,-0.15936,-0.153355,-0.147046,-0.141205,-0.168753
NGC0104,profiles/NGC_104_47Tuc.txt,9,0.0533333,191.99988,0.429461,0.439806,0.45337,0.467258,0.483904,-0.185673,-0.178719,-0.172045,-0.164977,-0.158562,-0.185726
NGC0104,profiles/NGC_104_47Tuc.txt,10,0.06,216.0,0.421706,0.430886,0.442533,0.454287,0.468537,-0.204194,-0.196726,-0.189458,-0.181762,-0.174734,-0.200535
NGC0104,profiles/NGC_104_47Tuc.txt,11,0.0666667,240.00012,0.414266,0.422012,0.431738,0.44172,0.453809,-0.221172,-0.213221,-0.205412,-0.197153,-0.189647,-0.213227
NGC0104,profiles/NGC_104_47Tuc.txt,12,0.0733333,263.99988,0.406401,0.413252,0.421247,0.429573,0.43964,-0.23642,-0.228019,-0.219772,-0.211062,-0.203098,-0.2239
NGC0104,profiles/NGC_104_47Tuc.txt,13,0.08,288.0,0.398555,0.404483,0.411105,0.417764,0.42622,-0.249753,-0.240964,-0.232367,-0.223332,-0.215021,-0.232683
NGC0104,profiles/NGC_104_47Tuc.txt,14,0.0866667,312.00012,0.39093,0.396021,0.401257,0.406593,0.413347,-0.261097,-0.251866,-0.243017,-0.233791,-0.225228,-0.239729
NGC0104,profiles/NGC_104_47Tuc.txt,15,0.0933333,335.99988,0.383069,0.387582,0.391692,0.395839,0.401026,-0.26989,-0.260586,-0.251532,-0.242258,-0.233559,-0.245201
NGC0104,profiles/NGC_104_47Tuc.txt,16,0.1,360.0,0.375287,0.379167,0.382501,0.385972,0.389813,-0.276214,-0.266946,-0.257794,-0.248544,-0.23979,-0.249266
