cluster_id,catalogue_file,parse_status,N_total,N_member_p10,N_member_p50,N_member_p80,N_member_p90,radius_member_median_deg,radius_member_p90_deg,pmra_member_median_masyr,pmdec_member_median_masyr,pmra_member_sigma_masyr,pmdec_member_sigma_masyr,parallax_member_median_mas,g_member_median_mag,bp_rp_member_median_mag,qflag_pass_fraction
NGC0104,catalogues/NGC_104_47Tuc.txt,OK,144761,112404,110299,108502,107056,0.1545409330889392,0.3385399001580562,5.2603,-2.5518,0.8669611969750385,0.9061083783326652,0.2192,18.896,0.9441,0.5166864613459777
NGC0288,catalogues/NGC_288.txt,OK,12191,11135,10966,10766,10591,0.0464241854596197,0.1033991537644274,4.1611,-5.69535,0.999584205466954,1.071164877849588,0.11395,19.66605,0.73465,0.5457778588364034
NGC0362,catalogues/NGC_362.txt,OK,19537,14649,14239,13834,13499,0.0519200346687095,0.1101529572239642,6.7023,-2.5442,1.069584147990273,1.0819998581227197,0.116,19.4851,0.7498,0.4562820422782498
NGC1261,catalogues/NGC_1261.txt,OK,6084,5106,4889,4627,4422,0.0282405736485645,0.06889998935469,1.6088,-2.0618,1.4248994004051971,1.542549881768603,0.0586,19.8902,0.7121,0.4575577827776641
NGC1851,catalogues/NGC_1851.txt,OK,12688,10861,10540,10196,9943,0.0417463170911171,0.0979256655164196,2.1252500000000003,-0.64735,1.162585018285805,1.4236843747738115,0.074,19.80325,0.7565,0.459392789373814
NGC2298,catalogues/NGC_2298.txt,OK,4190,3357,3291,3217,3165,0.0221199005422718,0.0560736123323618,3.2986,-2.1741,1.1683389056419888,1.2515516149397063,0.133,19.8281,0.9352,0.4539653600729261
NGC2808,catalogues/NGC_2808.txt,OK,32225,19988,19088,18245,17475,0.0646020897270413,0.1298034239882401,0.98995,0.2604,1.2490539989639118,1.165967072163025,0.10235,19.68635,0.9705,0.4355092204526404
NGC3201,catalogues/NGC_3201.txt,OK,63171,32674,32493,32339,32198,0.0872349700521528,0.2580967105285169,8.3411,-1.9605,0.8311153674219811,0.8963182415526914,0.211,19.4409,1.1095,0.5728310713076663
NGC4590,catalogues/NGC_4590_M_68.txt,OK,10305,8645,8491,8298,8094,0.0415221627567736,0.1276097566802789,-2.7395,1.7736,1.2787940343102258,1.0219564736968847,0.1176,19.6963,0.7219,0.5072429631374397
NGC4833,catalogues/NGC_4833.txt,OK,30883,15772,13279,10836,8770,0.0506732671139329,0.1003607492992686,-8.3987,-0.9778,0.8887731336647362,1.1566871115963029,0.1479,19.4841,1.1485,0.3934031177046464
NGC5024,catalogues/NGC_5024_M_53.txt,OK,11051,9977,9826,9660,9512,0.0498223333078794,0.1325631857471899,-0.14745,-1.33195,1.5299093267081774,1.4652435268695343,0.0767,20.01625,0.6819,0.5198453083655608
NGC5053,catalogues/NGC_5053.txt,OK,3245,2765,2750,2719,2694,0.0393005719687438,0.088072585106279,-0.3127,-1.2436,1.125998656951565,1.2069864868927815,0.0445,20.182450000000003,0.6378,0.7436363636363637
NGC5272,catalogues/NGC_5272_M_3.txt,OK,28762,25745,25395,25064,24778,0.0745386476936629,0.1835807669493392,-0.149,-2.6792,1.285650524520347,0.8805788341133868,0.1086,19.678,0.7047,0.5276235479425083
NGC5466,catalogues/NGC_5466.txt,OK,5567,4968,4918,4833,4761,0.0384006509089977,0.1041853113717759,-5.3705,-0.8349,1.2721115378572652,1.0451004739709786,0.06495,20.1404,0.6429,0.6541276941846279
NGC5897,catalogues/NGC_5897.txt,OK,8224,7053,6893,6715,6524,0.0412952781804409,0.0853303695927747,-5.43,-3.4025,1.1454465862888052,1.020293390483359,0.0963,19.8633,0.8273,0.4796170027564195
NGC5904,catalogues/NGC_5904_M_5.txt,OK,28523,24813,24602,24415,24260,0.0841307018837244,0.182051701385398,4.07475,-9.86715,0.9116394032019464,0.9162004893344836,0.1503,19.312,0.7808,0.4846353954963011
NGC5927,catalogues/NGC_5927.txt,OK,37264,16377,9093,4430,2616,0.0566325877918358,0.1078561727478687,-5.051,-3.2058,0.850811264818925,0.7348043788728434,0.1111,19.5694,1.4948,0.395908940943583
NGC5986,catalogues/NGC_5986.txt,OK,11293,6860,5930,4856,3931,0.0398104254840626,0.0761906676524076,-4.1903500000000005,-4.56635,1.3838372088951574,0.920658068687001,0.0918,19.7178,1.1291,0.3849915682967959
NGC6093,catalogues/NGC_6093_M_80.txt,OK,7749,5193,4734,4274,3849,0.0355299162033262,0.0711189269358556,-2.9282,-5.58955,1.362298058044031,1.0271229940986335,0.0894,19.5949,0.9684,0.4279678918462188
NGC6101,catalogues/NGC_6101.txt,OK,13365,8101,7836,7550,7272,0.0396570926780834,0.0996595443877828,1.7568,-0.26465,1.2148671706235392,1.3512463216755588,0.078,20.1234,0.80055,0.5156967840735069
NGC6121,catalogues/NGC_6121_M_4.txt,OK,69417,26503,26352,26225,26109,0.0980686491796475,0.2519914333208524,-12.516,-19.01,0.9608585015886812,0.7454729514856908,0.5553,18.42445,1.4677,0.5570734669095325
