cluster_id,cluster_name_raw,radius_arcsec,N_stars,sigma_kms,sigma_err_up_kms,sigma_err_low_kms,data_type
NGC0104,NGC 104,6.45,200.0,11.54,0.61,0.57,RV
NGC0104,NGC 104,8.02,23.0,14.14,1.52,1.52,LI22
NGC0104,NGC 104,11.67,200.0,12.57,0.67,0.61,RV
NGC0104,NGC 104,16.61,269.0,12.52,0.39,0.39,LI22
NGC0104,NGC 104,21.42,400.0,11.61,0.44,0.41,RV
NGC0104,NGC 104,22.7,386.0,12.75,0.32,0.32,LI22
NGC0104,NGC 104,25.61,400.0,11.23,0.42,0.4,RV
NGC0104,NGC 104,26.65,386.0,12.02,0.3,0.3,LI22
NGC0104,NGC 104,30.15,386.0,12.67,0.32,0.32,LI22
NGC0104,NGC 104,30.99,800.0,11.19,0.29,0.28,RV
NGC0104,NGC 104,33.89,386.0,12.19,0.32,0.32,LI22
NGC0104,NGC 104,37.17,800.0,11.68,0.31,0.29,RV
NGC0104,NGC 104,37.41,386.0,11.72,0.3,0.3,LI22
NGC0104,NGC 104,40.99,386.0,12.15,0.3,0.3,LI22
NGC0104,NGC 104,42.75,800.0,11.06,0.29,0.28,RV
NGC0104,NGC 104,44.54,386.0,12.02,0.3,0.3,LI22
NGC0104,NGC 104,47.91,800.0,11.64,0.3,0.3,RV
NGC0104,NGC 104,48.13,386.0,12.11,0.3,0.3,LI22
NGC0104,NGC 104,51.74,386.0,11.57,0.28,0.28,LI22
NGC0104,NGC 104,53.01,800.0,11.2,0.3,0.28,RV
NGC0104,NGC 104,55.6,386.0,11.89,0.3,0.3,LI22
NGC0104,NGC 104,58.69,800.0,11.02,0.29,0.28,RV
NGC0104,NGC 104,59.19,386.0,11.36,0.28,0.28,LI22
NGC0104,NGC 104,62.97,386.0,11.79,0.3,0.3,LI22
NGC0104,NGC 104,65.22,800.0,10.81,0.28,0.27,RV
NGC0104,NGC 104,66.92,386.0,11.89,0.3,0.3,LI22
NGC0104,NGC 104,70.62,386.0,11.74,0.3,0.3,LI22
NGC0104,NGC 104,74.41,800.0,11.14,0.29,0.28,RV
NGC0104,NGC 104,74.91,386.0,11.64,0.3,0.3,LI22
NGC0104,NGC 104,79.12,386.0,11.4,0.28,0.28,LI22
NGC0104,NGC 104,79.14,200.0,10.66,0.57,0.53,RV
NGC0104,NGC 104,82.17,200.0,11.0,0.59,0.54,RV
NGC0104,NGC 104,83.76,385.0,11.53,0.3,0.3,LI22
NGC0104,NGC 104,85.38,200.0,10.25,0.55,0.51,RV
NGC0104,NGC 104,88.94,385.0,11.19,0.28,0.28,LI22
NGC0104,NGC 104,94.5,385.0,11.38,0.3,0.3,LI22
NGC0104,NGC 104,100.0,385.0,10.97,0.28,0.28,LI22
NGC0104,NGC 104,106.31,385.0,10.69,0.28,0.28,LI22
NGC0104,NGC 104,109.85,200.0,9.38,0.5,0.46,RV
NGC0104,NGC 104,113.47,385.0,10.48,0.28,0.28,LI22
NGC0104,NGC 104,121.58,385.0,10.42,0.26,0.26,LI22
NGC0104,NGC 104,130.1,385.0,10.33,0.26,0.26,LI22
NGC0104,NGC 104,140.63,385.0,10.18,0.26,0.26,LI22
NGC0104,NGC 104,151.14,200.0,9.54,0.5,0.47,RV
NGC0104,NGC 104,158.59,385.0,9.86,0.26,0.26,LI22
NGC0104,NGC 104,174.75,700.0,9.14,0.26,0.24,VB21
NGC0104,NGC 104,194.71,200.0,9.05,0.48,0.44,RV
NGC0104,NGC 104,223.74,700.0,8.62,0.24,0.24,VB21
NGC0104,NGC 104,244.11,200.0,8.19,0.44,0.41,RV
NGC0104,NGC 104,263.81,700.0,8.26,0.24,0.23,VB21
NGC0104,NGC 104,292.48,200.0,8.62,0.46,0.43,RV
NGC0104,NGC 104,298.44,700.0,8.08,0.23,0.22,VB21
NGC0104,NGC 104,329.37,700.0,7.73,0.22,0.21,VB21
NGC0104,NGC 104,334.58,200.0,8.12,0.44,0.4,RV
NGC0104,NGC 104,356.93,700.0,7.82,0.23,0.21,VB21
NGC0104,NGC 104,377.02,200.0,8.01,0.43,0.39,RV
NGC0104,NGC 104,383.7,700.0,7.07,0.23,0.22,VB21
NGC0104,NGC 104,410.27,700.0,7.48,0.21,0.21,VB21
NGC0104,NGC 104,422.41,200.0,7.74,0.41,0.38,RV
NGC0104,NGC 104,435.65,700.0,7.49,0.22,0.21,VB21
NGC0104,NGC 104,459.74,700.0,7.05,0.21,0.2,VB21
NGC0104,NGC 104,467.44,200.0,7.29,0.4,0.35,RV
NGC0104,NGC 104,486.26,700.0,7.26,0.21,0.2,VB21
NGC0104,NGC 104,512.59,700.0,6.69,0.21,0.21,VB21
NGC0104,NGC 104,517.71,200.0,7.34,0.39,0.36,RV
NGC0104,NGC 104,542.26,700.0,6.79,0.2,0.2,VB21
NGC0104,NGC 104,571.44,700.0,6.77,0.2,0.19,VB21
NGC0104,NGC 104,573.74,200.0,6.29,0.34,0.31,RV
NGC0104,NGC 104,601.09,700.0,6.26,0.18,0.18,VB21
