cluster_id,GC_name,RA_cen,DEC_cen,R_t,Fe_H_med,Fe_H_sig,RV_med,RV_sig,PM_RA,PM_DEC,PM_sig,dist,dist_err,rad_vel,rad_vel_err,Rgc,Rgc_err,mass,mass_err,Nstars,log10_mass,source_file
NGC0104,NGC0104,6.02379,-72.08131,1.557,-0.743,0.061,-17.45,12.0,5.2516,-2.5516,0.65,4520.6,31.0,-17.45,0.16,7.52,0.01,813000.0,5310.0,302,5.910090545594068,GC_parameters_VAC-v1_1.fits
NGC0288,NGC0288,13.1885,-26.58261,0.605,-1.271,0.065,-44.45,3.1,4.1639,-5.7053,0.36,8988.1,88.7,-44.45,0.13,12.21,0.06,93400.0,2580.0,43,4.970346876230093,GC_parameters_VAC-v1_1.fits
NGC0362,NGC0362,15.80942,-70.84878,0.598,-1.113,0.06,223.12,8.6,6.6936,-2.5352,0.22,8829.0,96.1,223.12,0.28,9.62,0.06,284000.0,4240.0,70,5.453318340047038,GC_parameters_VAC-v1_1.fits
NGC1851,NGC1851,78.52816,-40.04655,0.611,-1.13,0.168,321.4,11.0,2.1453,-0.6499,0.27,11950.7,133.5,321.4,1.55,16.69,0.11,318000.0,4240.0,71,5.502427119984433,GC_parameters_VAC-v1_1.fits
NGC2298,NGC2298,102.24754,-36.00531,0.435,-1.835,0.077,147.15,4.0,3.3195,-2.1754,0.3,9828.0,168.8,147.15,0.57,15.07,0.14,56000.0,7550.0,12,4.748188027006201,GC_parameters_VAC-v1_1.fits
NGC2808,NGC2808,138.01291,-64.86349,0.944,-1.065,0.074,103.57,14.1,0.9944,0.2738,0.44,10060.0,111.4,103.57,0.27,11.58,0.07,864000.0,6100.0,132,5.936513742478893,GC_parameters_VAC-v1_1.fits
NGC3201,NGC3201,154.40343,-46.41248,0.925,-1.387,0.125,493.65,4.7,8.3469,-1.9572,0.24,4736.6,42.5,493.65,0.21,8.93,0.02,154000.0,3160.0,217,5.187520720836463,GC_parameters_VAC-v1_1.fits
NGC4590,NGC4590,189.86658,-26.74406,0.426,-2.222,0.091,-93.11,3.7,-2.7391,1.7787,0.22,10403.7,99.7,-93.11,0.18,10.35,0.07,122000.0,9220.0,41,5.086359830674748,GC_parameters_VAC-v1_1.fits
NGC5024,NGC5024,198.23021,18.16817,0.549,-1.901,0.091,-63.37,6.3,-0.1333,-1.3307,0.25,18498.2,183.8,-63.37,0.25,19.0,0.16,451000.0,31900.0,41,5.654176541877961,GC_parameters_VAC-v1_1.fits
NGC5053,NGC5053,199.11288,17.70025,0.317,-2.206,0.111,42.82,2.0,-0.3291,-1.2133,0.24,17536.6,233.6,42.82,0.25,18.01,0.2,73900.0,16100.0,17,4.868644438394826,GC_parameters_VAC-v1_1.fits
NGC5272,NGC5272,205.54842,28.37728,0.714,-1.429,0.105,-147.2,7.8,-0.1521,-2.6695,0.51,10174.9,81.6,-147.2,0.27,12.09,0.06,402000.0,17000.0,299,5.60422605308447,GC_parameters_VAC-v1_1.fits
NGC5466,NGC5466,211.36371,28.53444,0.284,-1.813,0.088,106.82,1.9,-5.3426,-0.8225,0.24,16119.8,163.1,106.82,0.2,16.47,0.13,59900.0,9930.0,17,4.777426822389312,GC_parameters_VAC-v1_1.fits
NGC5904,NGC5904,229.63841,2.08103,0.607,-1.205,0.104,53.5,7.8,4.0854,-9.8689,0.27,7479.0,60.2,53.5,0.25,6.27,0.02,358000.0,5840.0,259,5.553883026643875,GC_parameters_VAC-v1_1.fits
NGC6093,NGC6093,244.26004,-22.97608,0.344,-1.606,0.004,10.93,11.0,-2.9344,-5.5782,0.41,10339.1,115.2,10.93,0.39,3.95,0.08,338000.0,9410.0,3,5.528916700277655,GC_parameters_VAC-v1_1.fits
NGC6121,NGC6121,245.86974,-26.52575,1.658,-1.074,0.103,71.21,4.8,-12.514,-19.021,0.68,1851.0,15.5,71.21,0.15,6.45,0.01,88100.0,1140.0,224,4.944975908412048,GC_parameters_VAC-v1_1.fits
NGC6144,NGC6144,246.80777,-26.0235,0.198,-1.802,0.0,194.79,3.7,-1.7439,-2.6069,0.39,8151.0,126.0,194.79,0.58,2.5,0.02,79200.0,13700.0,1,4.898725181589493,GC_parameters_VAC-v1_1.fits
NGC6171,NGC6171,248.13275,-13.05378,0.368,-1.017,0.105,-34.71,4.1,-1.9388,-5.9796,0.23,5631.0,76.3,-34.71,0.18,3.74,0.04,74900.0,3940.0,65,4.874481817699467,GC_parameters_VAC-v1_1.fits
NGC6205,NGC6205,250.42181,36.45986,1.036,-1.484,0.092,-244.9,9.6,-3.1495,-2.5734,0.31,7419.3,75.7,-244.9,0.3,8.64,0.04,544000.0,20600.0,152,5.73559889969818,GC_parameters_VAC-v1_1.fits
NGC6218,NGC6218,251.80907,-1.94853,0.508,-1.27,0.061,-41.67,4.8,-0.191,-6.8025,0.27,5109.4,48.4,-41.67,0.14,4.57,0.02,106000.0,3240.0,107,5.02530586526477,GC_parameters_VAC-v1_1.fits
NGC6254,NGC6254,254.28772,-4.10031,0.611,-1.506,0.073,74.21,6.3,-4.7583,-6.5969,0.33,5067.4,63.6,74.21,0.23,4.35,0.03,199000.0,4200.0,87,5.298853076409706,GC_parameters_VAC-v1_1.fits
NGC6304,NGC6304,258.6344,-29.46203,0.276,-0.476,0.051,-108.62,5.5,-4.0693,-1.0888,0.44,6151.9,148.3,-108.62,0.39,2.19,0.13,126000.0,11400.0,34,5.1003705451175625,GC_parameters_VAC-v1_1.fits
NGC6341,NGC6341,259.28076,43.13594,0.808,-2.245,0.077,-120.55,8.7,-4.9352,-0.6254,0.42,8501.4,70.2,-120.55,0.27,9.84,0.04,317000.0,3770.0,80,5.501059262217751,GC_parameters_VAC-v1_1.fits
NGC6397,NGC6397,265.17538,-53.67434,1.174,-2.022,0.06,18.51,5.5,3.2601,-17.664,0.49,2482.5,18.9,18.51,0.08,6.01,0.02,88200.0,1150.0,187,4.945468585131819,GC_parameters_VAC-v1_1.fits
