cluster_id,GC_NAME_mode,N_apogee_total,N_apogee_highprob,RV_median_kms,RV_sigma_kms,FE_H_median,FE_H_sigma,FE_H_iqr,FE_H_N,M_H_median,M_H_sigma,M_H_iqr,M_H_N,ALPHA_M_median,ALPHA_M_sigma,ALPHA_M_iqr,ALPHA_M_N,C_FE_median,C_FE_sigma,C_FE_iqr,C_FE_N,N_FE_median,N_FE_sigma,N_FE_iqr,N_FE_N,O_FE_median,O_FE_sigma,O_FE_iqr,O_FE_N,NA_FE_median,NA_FE_sigma,NA_FE_iqr,NA_FE_N,MG_FE_median,MG_FE_sigma,MG_FE_iqr,MG_FE_N,AL_FE_median,AL_FE_sigma,AL_FE_iqr,AL_FE_N,SI_FE_median,SI_FE_sigma,SI_FE_iqr,SI_FE_N,CA_FE_median,CA_FE_sigma,CA_FE_iqr,CA_FE_N,TI_FE_median,TI_FE_sigma,TI_FE_iqr,TI_FE_N,NI_FE_median,NI_FE_sigma,NI_FE_iqr,NI_FE_N,CE_FE_median,CE_FE_sigma,CE_FE_iqr,CE_FE_N
NGC0104,NGC0104,302,296,-17.796436,7.462715,-0.74875,0.061388526,0.0728150606155395,295,-0.74352,0.06153904,0.0710949897766113,295,0.276915,0.024495607,0.0319100022315979,295,0.016597986,0.16129903,0.1972104609012603,295,0.73388,0.40708274,0.8281649947166443,295,0.317533,0.13064831,0.1033925414085388,294,0.12631202,0.3924329,0.3523899912834167,291,0.33592296,0.04460291,0.0458449721336364,295,0.300801,0.13925838,0.1259100139141082,294,0.24780053,0.04270875,0.0427500009536743,293,0.197245,0.059049174,0.0714999437332153,293,0.18589312,0.10063016,0.1179599612951278,291,0.078852475,0.049393147,0.0312499403953552,295,-0.102375,0.28176892,0.2389425188302993,288
NGC0288,NGC0288,43,43,-44.360798,2.1461024,-1.2698,0.06646963,0.0677500367164611,43,-1.2663,0.066808015,0.0726000070571899,43,0.28908503,0.033584584,0.0493399798870086,43,-0.25100994,0.100707926,0.1241349577903747,43,0.33698,0.32509735,0.6327849924564362,43,0.37633312,0.10783235,0.1586350202560424,43,0.017601967,0.4028979,0.3899499475955963,42,0.27849305,0.043511577,0.0531599819660186,43,0.14384091,0.14288227,0.2118099927902221,43,0.31129062,0.038374368,0.0443800687789917,43,0.25307494,0.1673315,0.0661550164222717,43,0.015559554,0.101977274,0.1084648966789245,42,0.0055925846,0.044282965,0.0327999591827392,43,-0.020210028,0.14540142,0.1428750157356262,42
NGC0362,NGC0362,70,70,223.82297,5.109172,-1.1112,0.06034829,0.0525249540805816,70,-1.1108501,0.06524483,0.047349989414215,70,0.12861499,0.040395476,0.061221994459629,70,-0.46273994,0.18290548,0.2068000137805938,70,0.7003701,0.40346232,0.7444974780082703,70,0.15715793,0.14760871,0.1192713975906372,70,0.09632197,0.5133443,0.467722475528717,60,0.09036106,0.070811905,0.1097700744867324,70,-0.018349051,0.2474567,0.4258750379085541,70,0.13348562,0.043099213,0.069420039653778,70,0.17745498,0.08341077,0.0839350223541259,70,-0.02256143,0.104801126,0.155018925666809,69,-0.044757485,0.090916455,0.061825007200241,70,-0.09865999,0.2512233,0.1891999244689941,65
NGC1851,NGC1851,71,71,320.13724,5.662772,-1.1249,0.17542064,0.1089999675750732,71,-1.1383,0.19227956,0.1051499843597412,71,0.173175,0.12843923,0.0729100033640861,71,-0.39814502,0.30319384,0.1370649933815002,66,0.70335,0.5770673,0.8527349531650543,71,0.19233298,0.22988677,0.1725210547447204,65,0.15109706,0.59182304,0.4547599852085113,58,0.18878305,0.14255373,0.0790619850158691,71,0.002180934,0.34559816,0.4627749919891357,71,0.15922561,0.14068156,0.094117447733879,70,0.23243499,0.13399993,0.085325002670288,59,0.055789173,0.192084,0.2446238249540329,60,-0.007407427,0.27670583,0.0789825767278671,70,0.0038399696,0.46070617,0.5201700329780579,53
NGC2298,NGC2298,12,12,147.0344,3.212581,-1.83155,0.08058998,0.1459500193595886,12,-1.8359001,0.09827684,0.1303000152111053,12,0.238185,0.12754248,0.205017814412713,12,-0.49079514,0.23290734,0.2217350304126739,12,0.56945497,0.3477682,0.4108699858188629,12,0.28762293,0.24108128,0.1228206753730773,11,-0.14934796,0.584307,0.8050749897956848,4,0.18746299,0.13709205,0.2054662406444549,12,-0.29026908,0.49829638,0.8765749633312225,12,0.2485106,0.04138388,0.0456675291061401,12,0.23241496,0.25041282,0.135927528142929,12,-0.1292119,0.12939064,0.0817973315715789,10,-0.024457455,0.12030715,0.0651999115943908,12,-0.43576002,0.37604815,0.4972000122070312,5
NGC2808,NGC2808,132,132,102.335815,8.550887,-1.0869501,0.07503916,0.0914250314235687,132,-1.0888,0.09270512,0.1027749478816986,132,0.16115001,0.08160109,0.1231115013360977,132,-0.423285,0.11532437,0.1288550496101379,132,0.696355,0.38846305,0.7678999453783035,132,0.19962806,0.18874738,0.2333000153303146,132,0.034251988,0.3946208,0.430550068616867,122,0.12125999,0.17339061,0.2501874715089798,132,0.046496034,0.45958832,0.833807498216629,132,0.16190559,0.056449264,0.0585274845361709,132,0.178375,0.09272668,0.0649950206279754,131,0.0018121004,0.13054244,0.1659988760948181,129,-0.010402471,0.08624343,0.0458249747753143,132,-0.13536,0.29222205,0.2070999145507812,129
NGC3201,NGC3201,217,217,495.27292,4.109489,-1.35565,0.12537298,0.1077499389648437,216,-1.3749,0.14605951,0.1370501518249511,215,0.195955,0.10361157,0.0721350014209747,215,-0.15642011,0.27382812,0.3915790319442749,215,0.12879503,0.49997258,0.7587518692016602,216,0.23109806,0.27680326,0.2424622178077697,206,0.011902094,0.5237793,0.6345999240875244,177,0.18382311,0.11609153,0.0756999254226684,215,-0.28681898,0.33971152,0.3761000037193298,211,0.16092557,0.06980418,0.0485801398754119,216,0.18864,0.217011,0.1276598870754242,204,0.009490132,0.20897028,0.1856029033660888,185,-0.046057403,0.17402336,0.0797250270843505,198,-0.33866,0.5080613,0.5717499256134033,207
NGC4590,NGC4590,41,41,-92.8567,2.6054482,-2.2279,0.08995618,0.1124999523162841,41,-2.1536,0.123196036,0.1726000308990478,41,0.25266498,0.103884585,0.1696699857711792,41,-0.4228499,0.41268834,0.5495251417160034,39,0.28807008,0.48957977,0.7430899143218994,41,0.31693798,0.16772698,0.2126757204532623,40,0.6796521,0.76730776,0.756100058555603,22,0.25442314,0.11000932,0.1408431529998779,41,0.287381,0.37427574,0.667850136756897,36,0.3068807,0.059774984,0.0666800737380981,41,0.15555477,0.3993503,0.5301498174667358,37,-0.097359896,0.33016416,0.4415590763092041,17,0.09514248,0.22000523,0.2538750767707824,32,-0.08411002,0.27178067,0.3809499144554138,18
NGC5024,NGC5024,41,40,-62.611595,4.6068716,-1.90475,0.09584545,0.1532999575138092,40,-1.8835,0.11759637,0.1566999554634094,40,0.2395,0.08976756,0.1227925047278404,40,-0.35030007,0.2561123,0.3344125151634216,40,0.65994,0.22712822,0.3073273748159408,40,0.32088798,0.09368328,0.113947570323944,40,-0.19769806,0.74002004,0.9003499746322632,14,0.262258,0.09198375,0.0998872816562652,40,-0.08966905,0.4269952,0.8243749737739563,40,0.24226564,0.06664462,0.0575001239776611,40,0.392985,0.16045941,0.2224899530410766,39,-0.18885696,0.23400903,0.2791459560394287,28,-0.0008074641,0.1533663,0.1953749656677246,38,-0.30115986,0.18209274,0.1845000386238098,39
NGC5053,NGC5053,17,17,43.53882,1.5876096,-2.2186,0.11481832,0.108299970626831,17,-2.1892,0.13825555,0.1970000267028808,17,0.251115,0.10029442,0.1244399696588516,17,0.052428007,0.37268296,0.5578498840332031,17,0.38339996,0.41989994,0.4354900121688843,17,0.39371306,0.26399884,0.3819693922996521,16,0.60315204,0.37952402,0.4485498666763305,8,0.26584315,0.13187174,0.1185308694839477,17,0.19688106,0.42781693,0.8360999822616577,15,0.3147006,0.071516715,0.0895100831985473,17,0.46644497,0.35323137,0.5550550222396851,15,0.2220732,0.38234046,0.3763324618339538,15,-0.027507544,0.19155976,0.2012499570846557,11,-0.19355989,0.277365,0.1894999742507934,11
