cluster_id,APOGEE_ID,GC_NAME,dPOS,dRV,dPM,dFeH,RV_Prob,VB_PROB,iFlag,RA,DEC,GLON,GLAT,J,H,K,SNR,VHELIO_AVG,VSCATTER,VERR,GAIAEDR3_SOURCE_ID,GAIAEDR3_PARALLAX,GAIAEDR3_PARALLAX_ERROR,GAIAEDR3_PMRA,GAIAEDR3_PMRA_ERROR,GAIAEDR3_PMDEC,GAIAEDR3_PMDEC_ERROR,GAIAEDR3_PHOT_G_MEAN_MAG,TEFF,TEFF_ERR,LOGG,LOGG_ERR,M_H,M_H_ERR,ALPHA_M,ALPHA_M_ERR,C_FE,C_FE_ERR,CI_FE,CI_FE_ERR,N_FE,N_FE_ERR,O_FE,O_FE_ERR,NA_FE,NA_FE_ERR,MG_FE,MG_FE_ERR,AL_FE,AL_FE_ERR,SI_FE,SI_FE_ERR,CA_FE,CA_FE_ERR,TI_FE,TI_FE_ERR,FE_H,FE_H_ERR,NI_FE,NI_FE_ERR,CE_FE,CE_FE_ERR,MEMBERFLAG,MEMBER,is_highprob_member,source_file
NGC0104,2M00094886-7740165,NGC0104,3.638532713313524,2.9986488819122314,4.129080772399902,2.7487282752990723,2.9507349609048102e-05,-999.0,1,2.453599,-77.671257,305.78555289872,-39.22540950728416,14.478,14.013,13.885,71.556625,18.533789,0.47395167,0.20887898,4683774231288764672,0.15014538,0.0316847,2.6503723,0.0420123,-1.8264267,0.0419431,15.8291,5108.3296,22.742691,3.1431289,0.04326642,-0.59736,0.0121752685,0.321195,0.014069442,0.030208945,0.042752974,0.12949997,0.0631188,0.18700996,0.044082616,0.57616293,0.062402837,0.064732015,0.20713568,0.40467295,0.024098706,0.22609097,0.04117808,0.26222056,0.030334363,0.29999495,0.03621355,0.15122312,0.053601775,-0.58561,0.013426397,0.19822249,0.03143138,-0.32901,0.20107481,0,,0,GC_members_VAC-v1_1.fits
NGC0104,2M00184041-7224229,NGC0104,0.3377697193427664,0.1493604183197021,0.3157609105110168,1.7042871713638306,0.7484832406044006,0.99969,0,4.668405,-72.40638,306.39354330457627,-44.50095838281594,13.759,13.242,13.154,117.09083,-15.657676,0.20042244,0.112149134,4689592911251564544,0.24776536,0.0213283,5.2146263,0.0273729,-2.7547708,0.0229634,15.1402,5051.579,16.351952,2.9227417,0.037139893,-0.63315,0.010003548,0.29452503,0.011548626,0.0021671653,0.0328914,-0.06560397,0.048950586,0.7393001,0.035218343,-0.004376948,0.04575954,0.59620905,0.16063283,0.39753303,0.019911624,0.35651103,0.030940473,0.25910065,0.023949666,0.22579503,0.028181856,0.2605932,0.040998682,-0.63845,0.010951322,0.0828625,0.02392413,-0.78141,0.14174739,0,,1,GC_members_VAC-v1_1.fits
NGC0104,2M00193767-7210175,NGC0104,0.2276698029111458,-0.8043573498725891,0.745387852191925,0.0107069378718733,0.693294882774353,0.99996,0,4.906991,-72.171532,306.35108266244606,-44.7449014223092,10.352,9.655,9.524,337.73218,-27.10229,0.3662897,0.02419126,4689616722544809344,0.22546303,0.0104404,5.3071356,0.0120301,-3.03591,0.0118876,12.2041,4270.81,6.787144,1.3989081,0.029224372,-0.74577,0.008522658,0.29620498,0.00795251,0.026471019,0.015478167,0.06257498,0.028864602,0.16915,0.017877102,0.337513,0.014223504,-0.152758,0.07892385,0.355973,0.015122598,0.15294099,0.021933224,0.2803306,0.01636003,0.137335,0.018937595,0.08590317,0.021350563,-0.74213,0.009759829,0.07894248,0.016014356,-0.16449004,0.042549614,70368744177664,47TUC,1,GC_members_VAC-v1_1.fits
NGC0104,2M00200957-7203031,NGC0104,0.195579383467464,0.3808546066284179,0.6687176823616028,-0.9592470526695251,0.699465811252594,0.99993,0,5.039908,-72.050888,306.3236614163956,-44.87077208425294,12.526,12.102,12.023,105.11734,-12.8797455,0.22362915,0.06754971,4689806014641825536,0.21376167,0.0127434,4.8328056,0.014247,-2.4255884,0.0150428,13.8511,5216.8486,20.709242,2.5600104,0.04244062,-0.79337,0.011116102,0.274005,0.014230551,-0.18724,0.046204913,-0.13609004,0.06148137,1.10679,0.046768606,0.145365,0.06825389,0.23215204,0.22318022,0.34880298,0.023413343,0.25949097,0.034393873,0.21478057,0.028191833,0.17932498,0.034955136,0.18696314,0.05180785,-0.80916,0.011781092,0.10332245,0.029200448,-0.7878001,0.18782973,70368744177664,47TUC,1,GC_members_VAC-v1_1.fits
NGC0104,2M00202263-7204105,NGC0104,0.1839019552443166,-0.3192359507083893,0.6842857599258423,0.6387759447097778,0.771072506904602,0.99997,0,5.094311,-72.069595,306.29587175900355,-44.85519096278902,12.719,12.143,12.1,79.11871,-21.280832,0.15041085,0.05089864,4689806667476861568,0.23177297,0.0168427,5.563187,0.0201431,-2.872832,0.0188587,14.2587,4822.525,17.0254,2.6189275,0.04328107,-0.70568,0.012798759,0.260995,0.013828073,0.11276996,0.036257938,0.05284697,0.05894619,0.75482,0.03793867,0.24118295,0.043159142,-0.73634803,0.18428183,0.34643295,0.024312882,0.33221096,0.040990338,0.25555056,0.029443428,0.19971496,0.03587099,0.21276313,0.04698186,-0.71645,0.014302607,0.060192466,0.031382296,-0.7993101,0.14189212,70368744177664,47TUC,1,GC_members_VAC-v1_1.fits
NGC0104,2M00202281-7201135,NGC0104,0.1879568156705871,-0.4465242922306061,0.8510018587112427,0.1348507553339004,0.761626660823822,0.99996,0,5.095056,-72.020432,306.30732593726566,-44.90367992981297,10.788,10.113,10.008,278.77753,-22.808292,0.12686509,0.024652475,4689807766988459392,0.20301323,0.0112617,4.853694,0.0120965,-2.9407332,0.0122761,12.61,4358.424,7.2002034,1.6639805,0.029422313,-0.74873,0.008433743,0.278835,0.008091603,-0.008477986,0.016191116,0.03113401,0.029575042,0.71424,0.018671554,0.32238302,0.015284546,0.22667205,0.0829509,0.345003,0.015194596,0.292931,0.021797355,0.24110061,0.016494425,0.18472499,0.019136487,0.19197321,0.022083685,-0.75185,0.009583685,0.069702506,0.016128264,-0.010779977,0.046224494,70368744177664,47TUC,1,GC_members_VAC-v1_1.fits
NGC0104,2M00203683-7151383,NGC0104,0.2236692276451705,-0.0272275600582361,0.6865551471710205,0.5791541337966919,0.767802357673645,0.99968,0,5.153466,-71.860641,306.3203561492635,-45.0642293340948,13.929,13.419,13.363,123.33044,-17.776731,0.29942307,0.12400231,4689824397101625984,0.24788196,0.0246491,5.4673967,0.0262528,-2.94535,0.0278807,15.3324,4936.762,15.139625,3.0071146,0.037999142,-0.71547,0.010440456,0.314695,0.011864556,0.14419997,0.032053743,0.21529996,0.04916861,-0.09283298,0.034241617,0.380503,0.04065536,-0.831568,0.16026583,0.36585298,0.0205482,0.27849102,0.031413503,0.24722058,0.024255795,0.268365,0.029092822,0.21165317,0.03992965,-0.71753,0.011441048,0.08135247,0.024726337,-0.27516997,0.12483289,0,,1,GC_members_VAC-v1_1.fits
NGC0104,2M00204027-7201425,NGC0104,0.1727723327535806,-0.2654619216918945,0.4260675311088562,0.847369909286499,0.7730430960655212,0.99998,0,5.167799,-72.028488,306.2741662300067,-44.89953281319498,12.794,12.23,12.143,137.41531,-20.635544,0.051770072,0.05557444,4689807526470290176,0.16991673,0.0143567,5.0676913,0.0159078,-2.3422618,0.0161161,14.3193,4752.7964,12.014033,2.4637067,0.035000566,-0.69207,0.009838159,0.308295,0.010436036,0.12505996,0.025213692,0.2546,0.041764762,-0.038897038,0.02779988,0.44977298,0.028828016,0.09157199,0.127942,0.36476296,0.018654432,0.30534098,0.028592236,0.28741056,0.021562237,0.20498496,0.025418514,0.20156315,0.03303934,-0.69091,0.010971456,0.08568245,0.021691876,-0.059330046,0.09203207,70368744177664,47TUC,1,GC_members_VAC-v1_1.fits
NGC0104,2M00204121-7202433,NGC0104,0.1701241654797588,0.1404580324888229,0.9912437796592712,-0.6838449835777283,0.7498013973236084,0.99995,0,5.171747,-72.045364,306.26846774421136,-44.88310161976778,11.067,10.422,10.299,231.70863,-15.764504,0.10426081,0.024714608,4689806701836580864,0.23797666,0.0123375,5.5557675,0.0144925,-3.1240861,0.0136455,12.8283,4399.7407,7.4684224,1.7161756,0.029987698,-0.78496,0.008512224,0.291995,0.008361725,0.053940058,0.01700748,0.09959108,0.03056116,0.55837005,0.01950646,0.34041306,0.016155638,0.19549203,0.087793306,0.36780304,0.015524902,0.26806098,0.02188534,0.27511066,0.016811982,0.19460505,0.019693624,0.11465323,0.022817388,-0.78465,0.009597683,0.07494253,0.016543677,-0.119509995,0.04825329,70368744177664,47TUC,1,GC_members_VAC-v1_1.fits
NGC0104,2M00204584-7213060,NGC0104,0.1860986811280102,-0.6040918231010437,0.3003316521644592,-0.2413379102945327,0.7398488521575928,0.99999,0,5.191023,-72.218338,306.219401448308,-44.71356464748589,12.531,12.063,11.986,105.413605,-24.699102,0.10222947,0.06019664,4689614012433190144,0.20626168,0.0126213,5.447897,0.0141505,-2.5584571,0.0133241,13.8892,5122.52,18.778168,2.3836184,0.04080903,-0.74196,0.010908975,0.28025502,0.013309886,0.042850018,0.040483307,0.039719045,0.056971636,0.6556,0.041848637,0.35137305,0.05719625,-0.15446794,0.19776802,0.339453,0.022347832,0.24066103,0.033764455,0.27895063,0.026872905,0.21376503,0.032769095,0.14712322,0.047565144,-0.75756,0.01173312,0.022262514,0.027631752,-0.06848997,0.16602448,70368744177664,47TUC,1,GC_members_VAC-v1_1.fits
