sample_order,cluster_id,hst_n_bins,hst_n_stars_total,hst_radius_min_arcsec,hst_radius_max_arcsec,hst_sigma_median_masyr,hst_sigma_center_masyr,hst_sigma_gradient_loglog,hst_sigma_curvature_abs,hst_outer_inner_sigma_ratio,hst_beta_pm_median,hst_beta_pm_abs_median,gaia_profile_n_bins,gaia_radius_min_arcsec,gaia_radius_max_arcsec,gaia_pm_disp_median_masyr,gaia_pm_disp_center_masyr,gaia_pm_disp_gradient_loglog,gaia_pm_disp_curvature_abs,gaia_outer_inner_disp_ratio,gaia_pm_rot_abs_max_masyr,gaia_rotation_support_proxy,vel_all_n_bins,vel_all_n_stars_total,vel_all_radius_min_arcsec,vel_all_radius_max_arcsec,vel_all_sigma_median_kms,vel_all_sigma_center_kms,vel_all_sigma_gradient_loglog,vel_all_sigma_curvature_abs,vel_all_outer_inner_sigma_ratio,vel_rv_n_bins,vel_rv_sigma_median_kms,vel_rv_sigma_gradient_loglog,vel_vb21_n_bins,vel_vb21_sigma_median_kms,vel_vb21_sigma_gradient_loglog,vel_li22_n_bins,vel_li22_sigma_median_kms,vel_li22_sigma_gradient_loglog,vel_w15_n_bins,vel_w15_sigma_median_kms,vel_w15_sigma_gradient_loglog,vel_p22_n_bins,vel_p22_sigma_median_kms,vel_p22_sigma_gradient_loglog,vel_f13_n_bins,vel_f13_sigma_median_kms,vel_f13_sigma_gradient_loglog,vel_l13_n_bins,vel_l13_sigma_median_kms,vel_l13_sigma_gradient_loglog,vel_k18_n_bins,vel_k18_sigma_median_kms,vel_k18_sigma_gradient_loglog,vel_c21_n_bins,vel_c21_sigma_median_kms,vel_c21_sigma_gradient_loglog,vel_d21_n_bins,vel_d21_sigma_median_kms,vel_d21_sigma_gradient_loglog,vel_g22_n_bins,vel_g22_sigma_median_kms,vel_g22_sigma_gradient_loglog,vel_t22_n_bins,vel_t22_sigma_median_kms,vel_t22_sigma_gradient_loglog
1,NGC0104,28,10318.0,8.0216,158.5868,0.545,0.66,-0.11215662275753939,0.2452184593167265,0.8238297872340427,0.03321301332416027,0.09694877643362593,101,24.000012,2400.0012,0.219382,0.534393,-0.35348907192473955,0.2939330622570665,0.40432481227688655,0.263579,1.2014613778705638,86,39028.0,6.45,1705.71,9.7,11.54,-0.25387000889446437,0.28333377442253077,0.45881863560732117,32,9.46,-0.24379351064443808,26,6.73,-0.3523513939466124,28,11.68,-0.11190153143244036,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2,NGC0288,5,487.0,13.8853,80.8034,0.068,0.074,-0.05628734291822784,0.20274252203847387,0.9189189189189191,0.0,0.14577594123048676,101,9.0,900.0,0.0395816,0.0697345,-0.33639084889554366,0.510949597890026,0.4029377711395821,0.0175102,0.44238231905733977,18,3186.0,13.89,639.1,2.665,3.15,-0.1765206188248621,0.35500638811959456,0.6862068965517242,7,2.57,-0.25506963381347153,6,2.62,-0.3222634049220849,5,2.9,-0.056180164237033155,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
3,NGC0362,19,3342.0,7.1193,90.796,0.178,0.197,-0.11437449696717042,0.24575583928095265,0.8342105263157895,0.012011903033822047,0.10488006023880392,101,7.2,720.0,0.0834385,0.194892,-0.31225263006911746,0.19931187295302558,0.44958251569123836,0.0111594,0.13374401505300312,40,6667.0,6.3,518.44,7.02,7.49,-0.1924952081791724,0.33628409517370544,0.582901554404145,16,6.76,-0.21016309694600746,5,5.92,-0.41873246458091695,19,7.45,-0.11397970840830605,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
4,NGC1261,20,3025.0,3.1141,99.6557,0.0625,0.075,-0.16431566520738095,0.21608550329423268,0.7291666666666667,0.0,0.1009884320909496,101,6.000012,600.0012,0.02244,0.0843423,-0.6714892858692328,0.8688248427737988,0.14288410420908185,0.0225651,1.0055748663101605,29,3524.0,3.11,445.77,4.5,5.83,-0.19541808392494842,0.21325145114726615,0.5579710144927537,7,3.79,-0.2231948833673054,2,3.685,,20,4.86,-0.1638409365008106,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
5,NGC1851,20,4511.0,4.3529,89.8988,0.13,0.185,-0.22506315427033677,0.16195292879999715,0.6456456456456457,0.03669409776475152,0.10243620224454425,101,9.0,900.0,0.0431196,0.173078,-0.5218657333079876,0.3601628176350105,0.26956680251559223,0.0182253,0.42266857763059024,48,11493.0,4.35,1283.92,7.14,10.48,-0.2851866468977356,0.19131090622796712,0.44721906923950067,22,7.220000000000001,-0.29227514232068114,6,4.225,-0.5238496321974488,20,7.36,-0.22461697988948923,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
6,NGC2298,6,310.0,6.0082,86.7106,0.0745,0.085,-0.13579506208836037,0.19677480280586368,0.7654320987654321,-0.3921819422822047,0.3921819422822047,101,3.6,360.0,0.0268251,0.0669828,-0.6467569082590224,1.337572747690782,0.1558867599576465,0.0175929,0.655837256897458,11,600.0,6.01,196.89,3.04,3.96,-0.18626266129650773,0.3806513794360998,0.6434540389972145,2,3.2199999999999998,,3,2.31,-0.5114694259727762,6,3.47,-0.13618564594352664,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
7,NGC2808,24,8000.0,3.475,101.5505,0.2445,0.31,-0.1848153376787156,0.34779964241776473,0.7340425531914894,0.11817493233493975,0.11817493233493975,101,9.0,900.0,0.112755,0.230413,-0.35659112740803706,0.4507670050182602,0.35953262526429663,0.0154434,0.1369642144472529,47,13756.0,3.48,526.8,11.17,14.78,-0.2548257390183525,0.2943624035733551,0.5414468726450641,18,11.515,-0.21692925195356969,5,6.68,-0.492021925175064,24,11.66,-0.18479338413324145,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
8,NGC3201,6,804.0,14.9638,97.6195,0.184,0.185,0.010077998235507535,0.2515837905325314,1.0108695652173914,-0.027608548812459,0.11621227709190668,101,15.000012,1500.0012,0.119509,0.189473,-0.22788330287135677,0.27714092332071916,0.5177964727711626,0.0301246,0.2520697185985993,38,8884.0,9.22,1976.14,4.0,4.53,-0.15255177514760435,0.18168871807535186,0.5901060070671378,19,4.13,-0.162597382299178,13,3.31,-0.20954041277927768,6,4.130000000000001,0.011766409835560945,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
9,NGC4590,5,403.0,13.5896,75.9885,0.076,0.076,-0.07162274626116681,0.46996891053980383,0.868421052631579,0.09870213106873904,0.10951111111111111,101,9.0,900.0,0.0384732,0.0856441,-0.4424700794647642,0.6020484312011324,0.2667799120170739,0.00731699,0.19018407618809977,12,1123.0,13.59,534.44,3.235,3.75,-0.24118276224386262,0.2781513645788604,0.504,4,2.585,-0.25851721668704847,3,2.34,-0.4762965874081938,5,3.75,-0.0711859026206539,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
10,NGC4833,12,1885.0,7.1847,91.1899,0.186,0.211,-0.092207875833234,0.15021266480892292,0.8860103626943006,0.04073255199769221,0.13016245674740495,101,7.2,720.0,0.104761,0.194161,-0.23959218277071354,0.22857415600868125,0.544234227953991,0.0283351,0.27047374500052496,22,3029.0,7.18,360.73,5.295,6.48,-0.1872953955874386,0.3042853529314369,0.5745033112582781,5,3.79,-0.25043060391893135,5,4.49,-0.46817669440049675,12,5.715,-0.09191883266054858,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
