sample_order,cluster_id,hst_n_bins,hst_n_stars_total,hst_radius_min_arcsec,hst_radius_max_arcsec,hst_sigma_median_masyr,hst_sigma_center_masyr,hst_sigma_gradient_loglog,hst_sigma_curvature_abs,hst_outer_inner_sigma_ratio,hst_beta_pm_median,hst_beta_pm_abs_median,gaia_profile_n_bins,gaia_radius_min_arcsec,gaia_radius_max_arcsec,gaia_pm_disp_median_masyr,gaia_pm_disp_center_masyr,gaia_pm_disp_gradient_loglog,gaia_pm_disp_curvature_abs,gaia_outer_inner_disp_ratio,gaia_pm_rot_abs_max_masyr,gaia_rotation_support_proxy,vel_all_n_bins,vel_all_n_stars_total,vel_all_radius_min_arcsec,vel_all_radius_max_arcsec,vel_all_sigma_median_kms,vel_all_sigma_center_kms,vel_all_sigma_gradient_loglog,vel_all_sigma_curvature_abs,vel_all_outer_inner_sigma_ratio,vel_rv_n_bins,vel_rv_sigma_median_kms,vel_rv_sigma_gradient_loglog,vel_vb21_n_bins,vel_vb21_sigma_median_kms,vel_vb21_sigma_gradient_loglog,vel_li22_n_bins,vel_li22_sigma_median_kms,vel_li22_sigma_gradient_loglog,vel_w15_n_bins,vel_w15_sigma_median_kms,vel_w15_sigma_gradient_loglog,vel_p22_n_bins,vel_p22_sigma_median_kms,vel_p22_sigma_gradient_loglog,vel_f13_n_bins,vel_f13_sigma_median_kms,vel_f13_sigma_gradient_loglog,vel_l13_n_bins,vel_l13_sigma_median_kms,vel_l13_sigma_gradient_loglog,vel_k18_n_bins,vel_k18_sigma_median_kms,vel_k18_sigma_gradient_loglog,vel_c21_n_bins,vel_c21_sigma_median_kms,vel_c21_sigma_gradient_loglog,vel_d21_n_bins,vel_d21_sigma_median_kms,vel_d21_sigma_gradient_loglog,vel_g22_n_bins,vel_g22_sigma_median_kms,vel_g22_sigma_gradient_loglog,vel_t22_n_bins,vel_t22_sigma_median_kms,vel_t22_sigma_gradient_loglog,has_gc_parameters_apogee_vac,has_apogee_star_level,has_apogee_abundance_summary,has_gaia_edr3_profile,has_gaia_member_summary,has_hst_hugs_metadata,has_hst_pm_profile,has_rv_pm_velocity_profile,n_gaia_profile_rows,n_hst_pm_rows,n_velocity_profile_rows,n_apogee_star_rows,core_dynamics_complete,chemistry_available,catalogue_file,parse_status,N_total,N_member_p10,N_member_p50,N_member_p80,N_member_p90,radius_member_median_deg,radius_member_p90_deg,pmra_member_median_masyr,pmdec_member_median_masyr,pmra_member_sigma_masyr,pmdec_member_sigma_masyr,parallax_member_median_mas,g_member_median_mag,bp_rp_member_median_mag,qflag_pass_fraction,cluster_name_hugs,ra_deg,dec_deg,F275W_exp_s,F336W_exp_s,F435W_exp_s,F438W_exp_s,F606W_exp_s,F814W_exp_s,catalog_methods,plot_products,has_bundle_tar_gz,GC_name,RA_cen,DEC_cen,R_t,Fe_H_med,Fe_H_sig,RV_med,RV_sig,PM_RA,PM_DEC,PM_sig,dist,dist_err,rad_vel,rad_vel_err,Rgc,Rgc_err,mass,mass_err,Nstars,log10_mass,source_file,GC_NAME_mode,N_apogee_total,N_apogee_highprob,RV_median_kms,RV_sigma_kms,FE_H_median,FE_H_sigma,FE_H_iqr,FE_H_N,M_H_median,M_H_sigma,M_H_iqr,M_H_N,ALPHA_M_median,ALPHA_M_sigma,ALPHA_M_iqr,ALPHA_M_N,C_FE_median,C_FE_sigma,C_FE_iqr,C_FE_N,N_FE_median,N_FE_sigma,N_FE_iqr,N_FE_N,O_FE_median,O_FE_sigma,O_FE_iqr,O_FE_N,NA_FE_median,NA_FE_sigma,NA_FE_iqr,NA_FE_N,MG_FE_median,MG_FE_sigma,MG_FE_iqr,MG_FE_N,AL_FE_median,AL_FE_sigma,AL_FE_iqr,AL_FE_N,SI_FE_median,SI_FE_sigma,SI_FE_iqr,SI_FE_N,CA_FE_median,CA_FE_sigma,CA_FE_iqr,CA_FE_N,TI_FE_median,TI_FE_sigma,TI_FE_iqr,TI_FE_N,NI_FE_median,NI_FE_sigma,NI_FE_iqr,NI_FE_N,CE_FE_median,CE_FE_sigma,CE_FE_iqr,CE_FE_N,dsi_component_dispersion_gradient_raw,dsi_component_anisotropy_raw,dsi_component_rotation_support_raw,dsi_component_profile_curvature_raw,dsi_component_central_enhancement_raw,dsi_component_outer_disturbance_raw,dsi_component_chem_complexity_aux,DSI_to_be_computed_in_MATLAB,apogee_missing_reason
1,NGC0104,28,10318.0,8.0216,158.5868,0.545,0.66,-0.11215662275753939,0.2452184593167265,0.8238297872340427,0.03321301332416027,0.09694877643362593,101,24.000012,2400.0012,0.219382,0.534393,-0.35348907192473955,0.2939330622570665,0.40432481227688655,0.263579,1.2014613778705638,86,39028.0,6.45,1705.71,9.7,11.54,-0.25387000889446437,0.28333377442253077,0.45881863560732117,32,9.46,-0.24379351064443808,26,6.73,-0.3523513939466124,28,11.68,-0.11190153143244036,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,1,1,1,1,1,1,1,101,28,86,302,1,1,catalogues/NGC_104_47Tuc.txt,OK,144761,112404,110299,108502,107056,0.1545409330889392,0.3385399001580562,5.2603,-2.5518,0.8669611969750385,0.9061083783326652,0.2192,18.896,0.9441,0.5166864613459777,NGC 0104,6.023792,-72.081306,348s,225s,10s | 100s,,3s | 50s,3s | 50s,meth01 |  meth02 |  meth03,"CMD: (png)   | RGB: (png, tif)",1,NGC0104,6.02379,-72.08131,1.557,-0.743,0.061,-17.45,12.0,5.2516,-2.5516,0.65,4520.6,31.0,-17.45,0.16,7.52,0.01,813000.0,5310.0,302.0,5.910090545594068,GC_parameters_VAC-v1_1.fits,NGC0104,302.0,296.0,-17.796436,7.462715,-0.74875,0.061388526,0.0728150606155395,295.0,-0.74352,0.06153904,0.0710949897766113,295.0,0.276915,0.024495607,0.0319100022315979,295.0,0.016597986,0.16129903,0.1972104609012603,295.0,0.73388,0.40708274,0.8281649947166443,295.0,0.317533,0.13064831,0.1033925414085388,294.0,0.12631202,0.3924329,0.3523899912834167,291.0,0.33592296,0.04460291,0.0458449721336364,295.0,0.300801,0.13925838,0.1259100139141082,294.0,0.24780053,0.04270875,0.0427500009536743,293.0,0.197245,0.059049174,0.0714999437332153,293.0,0.18589312,0.10063016,0.1179599612951278,291.0,0.078852475,0.049393147,0.0312499403953552,295.0,-0.102375,0.28176892,0.2389425188302993,288.0,-0.23983856785891444,0.09694877643362593,1.2014613778705638,0.27416176533210795,1.1896907216494845,0.5623244117060835,0.4368835363241018,,
2,NGC0288,5,487.0,13.8853,80.8034,0.068,0.074,-0.05628734291822784,0.20274252203847387,0.9189189189189191,0.0,0.14577594123048676,101,9.0,900.0,0.0395816,0.0697345,-0.33639084889554366,0.510949597890026,0.4029377711395821,0.0175102,0.44238231905733977,18,3186.0,13.89,639.1,2.665,3.15,-0.1765206188248621,0.35500638811959456,0.6862068965517242,7,2.57,-0.25506963381347153,6,2.62,-0.3222634049220849,5,2.9,-0.056180164237033155,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,1,1,1,1,1,1,1,101,5,18,43,1,1,catalogues/NGC_288.txt,OK,12191,11135,10966,10766,10591,0.0464241854596197,0.1033991537644274,4.1611,-5.69535,0.999584205466954,1.071164877849588,0.11395,19.66605,0.73465,0.5457778588364034,NGC 0288,13.1885,-26.582611,400s,350s,,41s,10s | 130s,10s | 150s,meth01 |  meth02 |  meth03,"CMD: (png)   | RGB: (png, tif)",1,NGC0288,13.1885,-26.58261,0.605,-1.271,0.065,-44.45,3.1,4.1639,-5.7053,0.36,8988.1,88.7,-44.45,0.13,12.21,0.06,93400.0,2580.0,43.0,4.970346876230093,GC_parameters_VAC-v1_1.fits,NGC0288,43.0,43.0,-44.360798,2.1461024,-1.2698,0.06646963,0.0677500367164611,43.0,-1.2663,0.066808015,0.0726000070571899,43.0,0.28908503,0.033584584,0.0493399798870086,43.0,-0.25100994,0.100707926,0.1241349577903747,43.0,0.33698,0.32509735,0.6327849924564362,43.0,0.37633312,0.10783235,0.1586350202560424,43.0,0.017601967,0.4028979,0.3899499475955963,42.0,0.27849305,0.043511577,0.0531599819660186,43.0,0.14384091,0.14288227,0.2118099927902221,43.0,0.31129062,0.038374368,0.0443800687789917,43.0,0.25307494,0.1673315,0.0661550164222717,43.0,0.015559554,0.101977274,0.1084648966789245,42.0,0.0055925846,0.044282965,0.0327999591827392,43.0,-0.020210028,0.14540142,0.1428750157356262,42.0,-0.18973293687954454,0.14577594123048676,0.44238231905733977,0.35623283601603145,1.1819887429643527,0.6693545288700751,0.36388885542530597,,
3,NGC0362,19,3342.0,7.1193,90.796,0.178,0.197,-0.11437449696717042,0.24575583928095265,0.8342105263157895,0.012011903033822047,0.10488006023880392,101,7.2,720.0,0.0834385,0.194892,-0.31225263006911746,0.19931187295302558,0.44958251569123836,0.0111594,0.13374401505300312,40,6667.0,6.3,518.44,7.02,7.49,-0.1924952081791724,0.33628409517370544,0.582901554404145,16,6.76,-0.21016309694600746,5,5.92,-0.41873246458091695,19,7.45,-0.11397970840830605,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,1,1,1,1,1,1,1,101,19,40,70,1,1,catalogues/NGC_362.txt,OK,19537,14649,14239,13834,13499,0.0519200346687095,0.1101529572239642,6.7023,-2.5442,1.069584147990273,1.0819998581227197,0.116,19.4851,0.7498,0.4562820422782498,NGC 0362,15.809417,-70.848778,519s,350s,,54s,10s | 150s,10s | 170s,meth01 |  meth02 |  meth03,"CMD: (png)   | RGB: (png, tif)",1,NGC0362,15.80942,-70.84878,0.598,-1.113,0.06,223.12,8.6,6.6936,-2.5352,0.22,8829.0,96.1,223.12,0.28,9.62,0.06,284000.0,4240.0,70.0,5.453318340047038,GC_parameters_VAC-v1_1.fits,NGC0362,70.0,70.0,223.82297,5.109172,-1.1112,0.06034829,0.0525249540805816,70.0,-1.1108501,0.06524483,0.047349989414215,70.0,0.12861499,0.040395476,0.061221994459629,70.0,-0.46273994,0.18290548,0.2068000137805938,70.0,0.7003701,0.40346232,0.7444974780082703,70.0,0.15715793,0.14760871,0.1192713975906372,70.0,0.09632197,0.5133443,0.467722475528717,60.0,0.09036106,0.070811905,0.1097700744867324,70.0,-0.018349051,0.2474567,0.4258750379085541,70.0,0.13348562,0.043099213,0.069420039653778,70.0,0.17745498,0.08341077,0.0839350223541259,70.0,-0.02256143,0.104801126,0.155018925666809,69.0,-0.044757485,0.090916455,0.061825007200241,70.0,-0.09865999,0.2512233,0.1891999244689941,65.0,-0.20637411173848677,0.10488006023880392,0.13374401505300312,0.2604506024692279,1.066951566951567,0.6222315321370576,0.48236179785543287,,
4,NGC1261,20,3025.0,3.1141,99.6557,0.0625,0.075,-0.16431566520738095,0.21608550329423268,0.7291666666666667,0.0,0.1009884320909496,101,6.000012,600.0012,0.02244,0.0843423,-0.6714892858692328,0.8688248427737988,0.14288410420908185,0.0225651,1.0055748663101605,29,3524.0,3.11,445.77,4.5,5.83,-0.19541808392494842,0.21325145114726615,0.5579710144927537,7,3.79,-0.2231948833673054,2,3.685,,20,4.86,-0.1638409365008106,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,1,1,1,1,1,101,20,29,0,1,0,catalogues/NGC_1261.txt,OK,6084,5106,4889,4627,4422,0.0282405736485645,0.06889998935469,1.6088,-2.0618,1.4248994004051971,1.542549881768603,0.0586,19.8902,0.7121,0.4575577827776641,NGC 1261,48.067542,-55.216222,859s,413s,,168s,40s | 350s,40s | 360s,meth01 |  meth02 |  meth03,"CMD: (png)   | RGB: (png, tif)",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34374101166718746,0.1009884320909496,1.0055748663101605,0.4327205990717658,1.2955555555555556,0.4766739284561674,,,No APOGEE VAC row in supplied files for this GC
5,NGC1851,20,4511.0,4.3529,89.8988,0.13,0.185,-0.22506315427033677,0.16195292879999715,0.6456456456456457,0.03669409776475152,0.10243620224454425,101,9.0,900.0,0.0431196,0.173078,-0.5218657333079876,0.3601628176350105,0.26956680251559223,0.0182253,0.42266857763059024,48,11493.0,4.35,1283.92,7.14,10.48,-0.2851866468977356,0.19131090622796712,0.44721906923950067,22,7.220000000000001,-0.29227514232068114,6,4.225,-0.5238496321974488,20,7.36,-0.22461697988948923,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,1,1,1,1,1,1,1,101,20,48,71,1,1,catalogues/NGC_1851.txt,OK,12688,10861,10540,10196,9943,0.0417463170911171,0.0979256655164196,2.1252500000000003,-0.64735,1.162585018285805,1.4236843747738115,0.074,19.80325,0.7565,0.459392789373814,NGC 1851,78.528167,-40.046556,1288s,453s,,140s,20s | 350s,20s | 350s,meth01 |  meth02 |  meth03,"CMD: (png)   | RGB: (png, tif)",1,NGC1851,78.52816,-40.04655,0.611,-1.13,0.168,321.4,11.0,2.1453,-0.6499,0.27,11950.7,133.5,321.4,1.55,16.69,0.11,318000.0,4240.0,71.0,5.502427119984433,GC_parameters_VAC-v1_1.fits,NGC1851,71.0,71.0,320.13724,5.662772,-1.1249,0.17542064,0.1089999675750732,71.0,-1.1383,0.19227956,0.1051499843597412,71.0,0.173175,0.12843923,0.0729100033640861,71.0,-0.39814502,0.30319384,0.1370649933815002,66.0,0.70335,0.5770673,0.8527349531650543,71.0,0.19233298,0.22988677,0.1725210547447204,65.0,0.15109706,0.59182304,0.4547599852085113,58.0,0.18878305,0.14255373,0.0790619850158691,71.0,0.002180934,0.34559816,0.4627749919891357,71.0,0.15922561,0.14068156,0.094117447733879,70.0,0.23243499,0.13399993,0.085325002670288,59.0,0.055789173,0.192084,0.2446238249540329,60.0,-0.007407427,0.27670583,0.0789825767278671,70.0,0.0038399696,0.46070617,0.5201700329780579,53.0,-0.34403851149201997,0.10243620224454425,0.42266857763059024,0.23780888422099158,1.4677871148459385,0.45414383913357953,0.7096046249846446,,
6,NGC2298,6,310.0,6.0082,86.7106,0.0745,0.085,-0.13579506208836037,0.19677480280586368,0.7654320987654321,-0.3921819422822047,0.3921819422822047,101,3.6,360.0,0.0268251,0.0669828,-0.6467569082590224,1.337572747690782,0.1558867599576465,0.0175929,0.655837256897458,11,600.0,6.01,196.89,3.04,3.96,-0.18626266129650773,0.3806513794360998,0.6434540389972145,2,3.2199999999999998,,3,2.31,-0.5114694259727762,6,3.47,-0.13618564594352664,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,1,1,1,1,1,1,1,101,6,11,12,1,1,catalogues/NGC_2298.txt,OK,4190,3357,3291,3217,3165,0.0221199005422718,0.0560736123323618,3.2986,-2.1741,1.1683389056419888,1.2515516149397063,0.133,19.8281,0.9352,0.4539653600729261,NGC 2298,102.247542,-36.005306,981s,350s,,136s,20s | 350s,20s | 350s,meth01 |  meth02 |  meth03,"CMD: (png)   | RGB: (png, tif)",1,NGC2298,102.24754,-36.00531,0.435,-1.835,0.077,147.15,4.0,3.3195,-2.1754,0.3,9828.0,168.8,147.15,0.57,15.07,0.14,56000.0,7550.0,12.0,4.748188027006201,GC_parameters_VAC-v1_1.fits,NGC2298,12.0,12.0,147.0344,3.212581,-1.83155,0.08058998,0.1459500193595886,12.0,-1.8359001,0.09827684,0.1303000152111053,12.0,0.238185,0.12754248,0.205017814412713,12.0,-0.49079514,0.23290734,0.2217350304126739,12.0,0.56945497,0.3477682,0.4108699858188629,12.0,0.28762293,0.24108128,0.1228206753730773,11.0,-0.14934796,0.584307,0.8050749897956848,4.0,0.18746299,0.13709205,0.2054662406444549,12.0,-0.29026908,0.49829638,0.8765749633312225,12.0,0.2485106,0.04138388,0.0456675291061401,12.0,0.23241496,0.25041282,0.135927528142929,12.0,-0.1292119,0.12939064,0.0817973315715789,10.0,-0.024457455,0.12030715,0.0651999115943908,12.0,-0.43576002,0.37604815,0.4972000122070312,5.0,-0.3229382105479635,0.3921819422822047,0.655837256897458,0.6383329766442484,1.3026315789473684,0.5215909659067643,0.6281170100402849,,
7,NGC2808,24,8000.0,3.475,101.5505,0.2445,0.31,-0.1848153376787156,0.34779964241776473,0.7340425531914894,0.11817493233493975,0.11817493233493975,101,9.0,900.0,0.112755,0.230413,-0.35659112740803706,0.4507670050182602,0.35953262526429663,0.0154434,0.1369642144472529,47,13756.0,3.48,526.8,11.17,14.78,-0.2548257390183525,0.2943624035733551,0.5414468726450641,18,11.515,-0.21692925195356969,5,6.68,-0.492021925175064,24,11.66,-0.18479338413324145,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,1,1,1,1,1,1,1,101,24,47,132,1,1,catalogues/NGC_2808.txt,OK,32225,19988,19088,18245,17475,0.0646020897270413,0.1298034239882401,0.98995,0.2604,1.2490539989639118,1.165967072163025,0.10235,19.68635,0.9705,0.4355092204526404,NGC 2808,138.012917,-64.8635,985s,650s,,97s,23s | 360s,23s | 370s,meth01 |  meth02 |  meth03,"CMD: (png)   | RGB: (png, tif)",1,NGC2808,138.01291,-64.86349,0.944,-1.065,0.074,103.57,14.1,0.9944,0.2738,0.44,10060.0,111.4,103.57,0.27,11.58,0.07,864000.0,6100.0,132.0,5.936513742478893,GC_parameters_VAC-v1_1.fits,NGC2808,132.0,132.0,102.335815,8.550887,-1.0869501,0.07503916,0.0914250314235687,132.0,-1.0888,0.09270512,0.1027749478816986,132.0,0.16115001,0.08160109,0.1231115013360977,132.0,-0.423285,0.11532437,0.1288550496101379,132.0,0.696355,0.38846305,0.7678999453783035,132.0,0.19962806,0.18874738,0.2333000153303146,132.0,0.034251988,0.3946208,0.430550068616867,122.0,0.12125999,0.17339061,0.2501874715089798,132.0,0.046496034,0.45958832,0.833807498216629,132.0,0.16190559,0.056449264,0.0585274845361709,132.0,0.178375,0.09272668,0.0649950206279754,131.0,0.0018121004,0.13054244,0.1659988760948181,129.0,-0.010402471,0.08624343,0.0458249747753143,132.0,-0.13536,0.29222205,0.2070999145507812,129.0,-0.26541073470170173,0.11817493233493975,0.1369642144472529,0.3643096836697934,1.3231871083258728,0.54500735036695,0.630729850463257,,
8,NGC3201,6,804.0,14.9638,97.6195,0.184,0.185,0.010077998235507535,0.2515837905325314,1.0108695652173914,-0.027608548812459,0.11621227709190668,101,15.000012,1500.0012,0.119509,0.189473,-0.22788330287135677,0.27714092332071916,0.5177964727711626,0.0301246,0.2520697185985993,38,8884.0,9.22,1976.14,4.0,4.53,-0.15255177514760435,0.18168871807535186,0.5901060070671378,19,4.13,-0.162597382299178,13,3.31,-0.20954041277927768,6,4.130000000000001,0.011766409835560945,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,1,1,1,1,1,1,1,101,6,38,217,1,1,catalogues/NGC_3201.txt,OK,63171,32674,32493,32339,32198,0.0872349700521528,0.2580967105285169,8.3411,-1.9605,0.8311153674219811,0.8963182415526914,0.211,19.4409,1.1095,0.5728310713076663,NGC 3201,154.403417,-46.412472,754s,310s,,68s,5s | 100s,5s | 100s,meth01 |  meth02 |  meth03,"CMD: (png)   | RGB: (png, tif)",1,NGC3201,154.40343,-46.41248,0.925,-1.387,0.125,493.65,4.7,8.3469,-1.9572,0.24,4736.6,42.5,493.65,0.21,8.93,0.02,154000.0,3160.0,217.0,5.187520720836463,GC_parameters_VAC-v1_1.fits,NGC3201,217.0,217.0,495.27292,4.109489,-1.35565,0.12537298,0.1077499389648437,216.0,-1.3749,0.14605951,0.1370501518249511,215.0,0.195955,0.10361157,0.0721350014209747,215.0,-0.15642011,0.27382812,0.3915790319442749,215.0,0.12879503,0.49997258,0.7587518692016602,216.0,0.23109806,0.27680326,0.2424622178077697,206.0,0.011902094,0.5237793,0.6345999240875244,177.0,0.18382311,0.11609153,0.0756999254226684,215.0,-0.28681898,0.33971152,0.3761000037193298,211.0,0.16092557,0.06980418,0.0485801398754119,216.0,0.18864,0.217011,0.1276598870754242,204.0,0.009490132,0.20897028,0.1856029033660888,185.0,-0.046057403,0.17402336,0.0797250270843505,198.0,-0.33866,0.5080613,0.5717499256134033,207.0,-0.12345235992781785,0.11621227709190668,0.2520697185985993,0.23680447730953413,1.1325,0.7062573483518971,0.6281497632128727,,
9,NGC4590,5,403.0,13.5896,75.9885,0.076,0.076,-0.07162274626116681,0.46996891053980383,0.868421052631579,0.09870213106873904,0.10951111111111111,101,9.0,900.0,0.0384732,0.0856441,-0.4424700794647642,0.6020484312011324,0.2667799120170739,0.00731699,0.19018407618809977,12,1123.0,13.59,534.44,3.235,3.75,-0.24118276224386262,0.2781513645788604,0.504,4,2.585,-0.25851721668704847,3,2.34,-0.4762965874081938,5,3.75,-0.0711859026206539,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,1,1,1,1,1,1,1,101,5,12,41,1,1,catalogues/NGC_4590_M_68.txt,OK,10305,8645,8491,8298,8094,0.0415221627567736,0.1276097566802789,-2.7395,1.7736,1.2787940343102258,1.0219564736968847,0.1176,19.6963,0.7219,0.5072429631374397,NGC 4590,189.866583,-26.744056,696s,305s,,60s,12s | 130s,12s | 150s,meth01 |  meth02 |  meth03,"CMD: (png)   | RGB: (png, tif)",1,NGC4590,189.86658,-26.74406,0.426,-2.222,0.091,-93.11,3.7,-2.7391,1.7787,0.22,10403.7,99.7,-93.11,0.18,10.35,0.07,122000.0,9220.0,41.0,5.086359830674748,GC_parameters_VAC-v1_1.fits,NGC4590,41.0,41.0,-92.8567,2.6054482,-2.2279,0.08995618,0.1124999523162841,41.0,-2.1536,0.123196036,0.1726000308990478,41.0,0.25266498,0.103884585,0.1696699857711792,41.0,-0.4228499,0.41268834,0.5495251417160034,39.0,0.28807008,0.48957977,0.7430899143218994,41.0,0.31693798,0.16772698,0.2126757204532623,40.0,0.6796521,0.76730776,0.756100058555603,22.0,0.25442314,0.11000932,0.1408431529998779,41.0,0.287381,0.37427574,0.667850136756897,36.0,0.3068807,0.059774984,0.0666800737380981,41.0,0.15555477,0.3993503,0.5301498174667358,37.0,-0.097359896,0.33016416,0.4415590763092041,17.0,0.09514248,0.22000523,0.2538750767707824,32.0,-0.08411002,0.27178067,0.3809499144554138,18.0,-0.25175852932326453,0.10951111111111111,0.19018407618809977,0.45005623543993223,1.1591962905718702,0.546400321549551,0.6324277393923003,,
10,NGC4833,12,1885.0,7.1847,91.1899,0.186,0.211,-0.092207875833234,0.15021266480892292,0.8860103626943006,0.04073255199769221,0.13016245674740495,101,7.2,720.0,0.104761,0.194161,-0.23959218277071354,0.22857415600868125,0.544234227953991,0.0283351,0.27047374500052496,22,3029.0,7.18,360.73,5.295,6.48,-0.1872953955874386,0.3042853529314369,0.5745033112582781,5,3.79,-0.25043060391893135,5,4.49,-0.46817669440049675,12,5.715,-0.09191883266054858,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,1,1,1,1,1,101,12,22,0,1,0,catalogues/NGC_4833.txt,OK,30883,15772,13279,10836,8770,0.0506732671139329,0.1003607492992686,-8.3987,-0.9778,0.8887731336647362,1.1566871115963029,0.1479,19.4841,1.1485,0.3934031177046464,NGC 4833,194.891333,-70.8765,936s,350s,,136s,10s | 150s,10s | 170s,meth01 |  meth02 |  meth03,"CMD: (png)   | RGB: (png, tif)",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1730318180637954,0.13016245674740495,0.27047374500052496,0.22769072458301368,1.2237960339943343,0.6682493006355233,,,No APOGEE VAC row in supplied files for this GC
